connection_id,obj_name,direction,activity_type,rel_type,country,gender,comment,dotted,shopping
1,baby clothes,from,giving,family members,pl,female/male,"[Natalia used to send things over to her son’s father’s family in Poland. She stopped doing it after they broke up.] I’m not going to take care of it. If he wanted to, he could take everything and send it over. But if he doesn’t feel like it... ",,
2,baby clothes,from,giving,friends,uk,female,"Kaja visited me recently and picked the things she liked. And before that, I also gave things away to a different Polish woman. I generally give things away. ",,
